file_name,bbox,image_id,race,age,emotion,gender,skintone,masked
104493424.jpg,"[729, 243, 250, 315]",24,Caucasian,Kid,Neutral,Female,light,unmasked
104560322.jpg,"[509, 296, 296, 315]",25,Caucasian,20-30s,Neutral,Female,light,unmasked
104857335.jpg,"[1036, 219, 125, 152]",26,Caucasian,20-30s,Fear,Female,light,unmasked
10500528.jpg,"[457, 319, 392, 461]",27,Caucasian,20-30s,Neutral,Female,light,unmasked
105090100.jpg,"[1125, 150, 713, 910]",28,Mongoloid,20-30s,Neutral,Female,mid-dark,unmasked
10535221.jpg,"[1467, 343, 206, 310]",29,Caucasian,20-30s,Neutral,Female,dark,unmasked
105530852.jpg,"[387, 338, 228, 326]",30,Mongoloid,20-30s,Neutral,Female,light,unmasked
105542559.jpg,"[469, 188, 137, 189]",31,Mongoloid,20-30s,Neutral,Female,light,unmasked
105653915.jpg,"[177, 489, 758, 786]",32,Caucasian,20-30s,Happiness,Female,light,masked
105708833.jpg,"[394, 361, 658, 895]",33,Mongoloid,20-30s,Anger,Female,light,unmasked
105830480.jpg,"[687, 369, 125, 147]",34,Mongoloid,20-30s,Neutral,Male,mid-light,unmasked
105843005.jpg,"[709, 22, 685, 967]",35,Mongoloid,20-30s,Happiness,Female,light,unmasked
10610911.jpg,"[1424, 780, 138, 185]",36,Mongoloid,40-50s,Neutral,Male,mid-light,unmasked
10620731.jpg,"[810, 320, 144, 214]",37,Mongoloid,20-30s,Neutral,Female,mid-light,unmasked
106320112.jpg,"[919, 239, 188, 237]",38,Mongoloid,20-30s,Neutral,Female,dark,unmasked
10635344.jpg,"[567, 156, 145, 186]",39,Mongoloid,20-30s,Neutral,Female,mid-light,unmasked
106449415.jpg,"[593, 292, 258, 349]",40,Mongoloid,20-30s,Anger,Female,dark,unmasked
106477337.jpg,"[312, 188, 254, 307]",41,Caucasian,20-30s,Anger,Male,light,unmasked
106532294.jpg,"[582, 177, 326, 474]",42,Mongoloid,20-30s,Anger,Female,dark,unmasked
106752775.jpg,"[813, 236, 401, 567]",43,Caucasian,20-30s,Neutral,Female,light,unmasked
106867026.jpg,"[665, 336, 170, 248]",44,Negroid,20-30s,Neutral,Female,dark,unmasked
107409236.jpg,"[765, 220, 351, 471]",45,Caucasian,20-30s,Neutral,Male,light,unmasked
107517113.jpg,"[638, 224, 180, 250]",46,Negroid,20-30s,Surprise,Male,light,unmasked
107617448.jpg,"[883, 343, 278, 362]",47,Caucasian,20-30s,Anger,Female,light,unmasked
107892066.jpg,"[893, 168, 252, 343]",48,Caucasian,20-30s,Anger,Female,light,unmasked
108117094.jpg,"[626, 248, 179, 247]",49,Caucasian,20-30s,Neutral,Female,mid-light,unmasked
108124150.jpg,"[730, 241, 511, 639]",50,Negroid,20-30s,Anger,Female,dark,unmasked
11540921.jpg,"[990, 169, 325, 451]",51,Mongoloid,20-30s,Neutral,Female,light,unmasked
11749071.jpg,"[379, 294, 501, 703]",52,Negroid,20-30s,Surprise,Female,dark,unmasked
11826109.jpg,"[880, 291, 248, 354]",53,Caucasian,20-30s,Neutral,Female,light,unmasked
11862440.jpg,"[538, 439, 352, 538]",54,Negroid,20-30s,Surprise,Female,mid-light,unmasked
11899864.jpg,"[549, 196, 178, 258]",55,Caucasian,Baby,Neutral,Male,mid-light,unmasked
11910632.jpg,"[569, 329, 384, 510]",56,Caucasian,20-30s,Neutral,Male,light,unmasked
11910663.jpg,"[1239, 227, 298, 379]",57,Caucasian,20-30s,Neutral,Female,light,unmasked
11911421.jpg,"[1209, 231, 278, 367]",58,Caucasian,20-30s,Neutral,Female,light,unmasked
11912057.jpg,"[499, 392, 404, 560]",59,Caucasian,20-30s,Anger,Male,light,unmasked
11937543.jpg,"[1094, 207, 300, 407]",60,Mongoloid,20-30s,Neutral,Female,light,unmasked
12050001.jpg,"[494, 202, 340, 482]",61,Caucasian,20-30s,Surprise,Male,light,unmasked
12196761.jpg,"[544, 532, 311, 347]",62,Mongoloid,20-30s,Neutral,Female,light,unmasked
12221828.jpg,"[307, 1190, 231, 325]",63,Mongoloid,20-30s,Neutral,Female,mid-dark,unmasked
12250368.jpg,"[672, 331, 471, 649]",64,Caucasian,Teenager,Neutral,Male,light,unmasked
12286502.jpg,"[534, 323, 316, 401]",65,Mongoloid,20-30s,Neutral,Female,light,unmasked
12467250.jpg,"[657, 422, 260, 356]",66,Mongoloid,20-30s,Neutral,Female,light,unmasked
12564686.jpg,"[447, 371, 246, 329]",67,Caucasian,20-30s,Neutral,Female,light,unmasked
12565086.jpg,"[619, 121, 151, 210]",68,Mongoloid,20-30s,Neutral,Female,mid-light,unmasked
12578232.jpg,"[821, 443, 240, 370]",69,Mongoloid,20-30s,Neutral,Female,light,unmasked
12585940.jpg,"[498, 249, 269, 377]",70,Caucasian,20-30s,Neutral,Female,mid-light,unmasked
1263134.jpg,"[483, 348, 396, 613]",71,Mongoloid,20-30s,Neutral,Female,light,unmasked
12635625.jpg,"[521, 625, 233, 299]",72,Caucasian,20-30s,Neutral,Male,light,unmasked
1267459.jpg,"[793, 288, 151, 242]",73,Negroid,20-30s,Neutral,Female,mid-dark,unmasked
12680121.jpg,"[851, 163, 474, 687]",74,Caucasian,20-30s,Anger,Female,light,unmasked
12702881.jpg,"[546, 328, 289, 415]",75,Caucasian,20-30s,Neutral,Female,light,unmasked
12774879.jpg,"[536, 867, 267, 305]",76,Mongoloid,20-30s,Neutral,Female,mid-light,unmasked
12875463.jpg,"[641, 109, 186, 262]",77,Caucasian,20-30s,Neutral,Male,mid-light,unmasked
1287982.jpg,"[431, 226, 419, 525]",78,Caucasian,20-30s,Neutral,Male,mid-light,unmasked
12915596.jpg,"[1068, 197, 226, 290]",79,Caucasian,20-30s,Neutral,Male,light,unmasked
12975758.jpg,"[625, 433, 147, 203]",80,Mongoloid,20-30s,Neutral,Female,light,unmasked
12995520.jpg,"[623, 467, 410, 574]",81,Mongoloid,20-30s,Anger,Male,light,unmasked
13135767.jpg,"[359, 601, 431, 638]",82,Mongoloid,20-30s,Happiness,Female,mid-light,unmasked
13137242.jpg,"[920, 159, 409, 522]",83,Caucasian,20-30s,Neutral,Male,light,unmasked
13224746.jpg,"[532, 339, 249, 364]",84,Mongoloid,20-30s,Neutral,Female,light,unmasked
13393812.jpg,"[599, 419, 180, 232]",85,Caucasian,20-30s,Neutral,Male,light,unmasked
13445824.jpg,"[613, 304, 311, 356]",86,Caucasian,20-30s,Neutral,Female,light,unmasked
13602326.jpg,"[976, 214, 685, 891]",87,Negroid,20-30s,Surprise,Male,light,unmasked
13706629.jpg,"[468, 484, 288, 395]",88,Mongoloid,20-30s,Neutral,Female,mid-dark,unmasked
13758756.jpg,"[694, 308, 133, 202]",89,Caucasian,Kid,Neutral,Female,light,unmasked
1376556.jpg,"[187, 204, 927, 1124]",90,Caucasian,20-30s,Happiness,Female,mid-dark,unmasked
13788539.jpg,"[1084, 530, 215, 296]",91,Caucasian,20-30s,Neutral,Male,light,unmasked
1379340.jpg,"[559, 788, 445, 368]",92,Caucasian,20-30s,Neutral,Female,light,masked
13851071.jpg,"[534, 335, 408, 496]",93,Mongoloid,20-30s,Neutral,Male,mid-light,unmasked
13874830.jpg,"[708, 132, 187, 269]",94,Mongoloid,Kid,Happiness,Male,mid-light,unmasked
13984942.jpg,"[1135, 439, 230, 304]",95,Mongoloid,20-30s,Neutral,Female,light,unmasked
1400882.jpg,"[462, 349, 220, 334]",96,Caucasian,Kid,Surprise,Female,light,unmasked
14071184.jpg,"[1122, 229, 236, 309]",97,Caucasian,20-30s,Neutral,Male,light,unmasked
14340893.jpg,"[766, 240, 431, 590]",98,Caucasian,20-30s,Surprise,Female,light,unmasked
14361436.jpg,"[1200, 416, 115, 145]",99,Caucasian,20-30s,Anger,Male,mid-light,unmasked
14364844.jpg,"[1137, 463, 112, 157]",100,Mongoloid,20-30s,Neutral,Female,light,unmasked
14376460.jpg,"[695, 216, 317, 445]",101,Mongoloid,20-30s,Anger,Female,light,unmasked
1479831.jpg,"[815, 255, 398, 492]",102,Negroid,20-30s,Neutral,Female,mid-dark,unmasked
15380726.jpg,"[1089, 0, 377, 212]",103,Caucasian,20-30s,Neutral,Male,light,unmasked
15444215.jpg,"[128, 332, 653, 949]",104,Caucasian,20-30s,Neutral,Female,light,unmasked
15539955.jpg,"[1066, 225, 344, 470]",105,Mongoloid,20-30s,Neutral,Male,light,unmasked
16142768.jpg,"[855, 564, 203, 242]",106,Mongoloid,20-30s,Neutral,Female,mid-dark,unmasked
16419201.jpg,"[434, 440, 459, 699]",107,Caucasian,20-30s,Anger,Female,light,unmasked
16450025.jpg,"[816, 175, 274, 406]",108,Mongoloid,40-50s,Neutral,Male,mid-light,unmasked
16515576.jpg,"[273, 546, 365, 461]",109,Mongoloid,20-30s,Neutral,Female,light,unmasked
16661245.jpg,"[728, 403, 97, 149]",110,Mongoloid,20-30s,Neutral,Female,light,unmasked
16757635.jpg,"[1280, 287, 411, 521]",111,Mongoloid,20-30s,Neutral,Female,light,unmasked
16860940.jpg,"[1124, 346, 307, 388]",112,Caucasian,20-30s,Neutral,Male,light,unmasked
1726914.jpg,"[583, 458, 339, 404]",113,Mongoloid,20-30s,Neutral,Male,light,unmasked
17458558.jpg,"[525, 390, 472, 652]",114,Negroid,20-30s,Neutral,Female,dark,unmasked
1764740.jpg,"[400, 485, 311, 476]",115,Caucasian,20-30s,Anger,Female,mid-dark,unmasked
17690672.jpg,"[511, 181, 329, 476]",116,Caucasian,20-30s,Neutral,Female,mid-light,unmasked
17777379.jpg,"[1093, 431, 280, 397]",117,Negroid,20-30s,Neutral,Female,light,unmasked
17849614.jpg,"[447, 292, 334, 445]",118,Caucasian,20-30s,Neutral,Female,light,unmasked
18103102.jpg,"[749, 330, 311, 388]",119,Caucasian,20-30s,Surprise,Female,light,unmasked
18414602.jpg,"[560, 230, 464, 596]",120,Mongoloid,20-30s,Neutral,Female,light,unmasked
18454640.jpg,"[1290, 397, 494, 620]",121,Mongoloid,Teenager,Neutral,Female,light,unmasked
18639281.jpg,"[601, 383, 254, 334]",122,Caucasian,20-30s,Neutral,Female,light,unmasked
18704320.jpg,"[580, 145, 151, 199]",123,Mongoloid,Teenager,Neutral,Female,mid-light,unmasked
18810000.jpg,"[548, 166, 170, 253]",124,Caucasian,Kid,Neutral,Male,mid-light,unmasked
1901783.jpg,"[480, 722, 323, 390]",125,Negroid,20-30s,Neutral,Female,light,unmasked
19161768.jpg,"[1096, 365, 282, 345]",126,Caucasian,20-30s,Happiness,Female,light,unmasked
19162111.jpg,"[919, 336, 154, 202]",127,Caucasian,20-30s,Anger,Female,light,unmasked
19308836.jpg,"[585, 538, 329, 415]",128,Caucasian,20-30s,Neutral,Male,mid-light,unmasked
19412720.jpg,"[754, 570, 386, 655]",129,Caucasian,20-30s,Sadness,Female,light,unmasked
1948175.jpg,"[334, 551, 201, 282]",130,Mongoloid,20-30s,Neutral,Female,mid-light,unmasked
1956714.jpg,"[496, 401, 197, 287]",131,Caucasian,20-30s,Happiness,Female,light,unmasked
19627152.jpg,"[1127, 167, 315, 383]",132,Caucasian,20-30s,Neutral,Female,mid-light,unmasked
1974308.jpg,"[513, 446, 276, 419]",133,Caucasian,20-30s,Neutral,Female,light,unmasked
19827496.jpg,"[885, 205, 212, 274]",134,Caucasian,20-30s,Sadness,Female,mid-light,unmasked
20353998.jpg,"[610, 334, 243, 248]",135,Mongoloid,20-30s,Neutral,Female,dark,unmasked
20516708.jpg,"[1208, 235, 220, 307]",136,Caucasian,20-30s,Neutral,Male,mid-light,unmasked
2052852.jpg,"[822, 973, 225, 290]",137,Negroid,20-30s,Happiness,Female,dark,unmasked
2070202.jpg,"[933, 730, 262, 393]",138,Caucasian,Senior,Neutral,Male,light,masked
2102074.jpg,"[662, 490, 161, 214]",139,Mongoloid,20-30s,Neutral,Female,mid-light,unmasked
2138909.jpg,"[436, 298, 298, 420]",140,Mongoloid,20-30s,Neutral,Female,mid-light,unmasked
21468999.jpg,"[1056, 296, 540, 618]",141,Caucasian,20-30s,Neutral,Female,light,unmasked
21713230.jpg,"[923, 502, 151, 212]",142,Caucasian,20-30s,Neutral,Female,dark,unmasked
21727536.jpg,"[939, 362, 514, 343]",143,Caucasian,20-30s,Neutral,Male,light,unmasked
21907104.jpg,"[611, 417, 132, 176]",144,Caucasian,20-30s,Neutral,Female,light,unmasked
21964734.jpg,"[973, 349, 318, 224]",145,Caucasian,20-30s,Neutral,Male,light,unmasked
2222408.jpg,"[784, 446, 324, 507]",146,Mongoloid,20-30s,Neutral,Female,mid-light,unmasked
22420408.jpg,"[791, 377, 197, 260]",147,Caucasian,20-30s,Neutral,Female,light,unmasked
22565086.jpg,"[1011, 130, 249, 322]",148,Negroid,20-30s,Anger,Female,dark,unmasked
22766112.jpg,"[687, 321, 301, 354]",149,Negroid,20-30s,Happiness,Male,dark,unmasked
22966544.jpg,"[665, 240, 269, 376]",150,Mongoloid,20-30s,Happiness,Female,dark,unmasked
22981000.jpg,"[493, 332, 433, 562]",151,Caucasian,20-30s,Neutral,Male,mid-light,unmasked
23048768.jpg,"[520, 285, 203, 292]",152,Mongoloid,20-30s,Happiness,Female,light,unmasked
23160059.jpg,"[788, 259, 267, 332]",153,Mongoloid,20-30s,Neutral,Female,light,unmasked
2379775.jpg,"[1336, 398, 403, 529]",154,Mongoloid,20-30s,Neutral,Female,light,unmasked
24010357.jpg,"[547, 453, 268, 375]",155,Mongoloid,20-30s,Neutral,Female,mid-light,unmasked
24147910.jpg,"[435, 339, 121, 155]",156,Caucasian,20-30s,Neutral,Female,light,unmasked
24460945.jpg,"[1114, 275, 349, 469]",157,Caucasian,20-30s,Neutral,Male,light,unmasked
24846573.jpg,"[464, 583, 283, 387]",158,Negroid,20-30s,Neutral,Male,dark,unmasked
2499469.jpg,"[613, 420, 293, 411]",159,Caucasian,20-30s,Neutral,Female,light,unmasked
2507329.jpg,"[659, 307, 266, 413]",160,Mongoloid,20-30s,Happiness,Female,mid-light,unmasked
25258174.jpg,"[1157, 233, 307, 453]",161,Mongoloid,20-30s,Neutral,Female,light,unmasked
25558882.jpg,"[926, 175, 271, 373]",162,Caucasian,20-30s,Surprise,Male,light,unmasked
25610409.jpg,"[1103, 395, 196, 279]",163,Negroid,20-30s,Happiness,Female,light,unmasked
25644923.jpg,"[435, 274, 456, 522]",164,Caucasian,20-30s,Neutral,Male,mid-light,unmasked
25709014.jpg,"[613, 267, 131, 183]",165,Caucasian,20-30s,Neutral,Male,mid-light,unmasked
26066270.jpg,"[946, 352, 321, 373]",166,Negroid,20-30s,Neutral,Female,light,unmasked
2617157.jpg,"[399, 452, 205, 319]",167,Caucasian,20-30s,Anger,Female,light,unmasked
26429747.jpg,"[468, 560, 355, 495]",168,Caucasian,20-30s,Surprise,Female,light,unmasked
26652241.jpg,"[241, 384, 293, 403]",169,Caucasian,20-30s,Neutral,Female,light,unmasked
26995139.jpg,"[800, 284, 519, 630]",170,Negroid,20-30s,Anger,Male,dark,unmasked
27216003.jpg,"[1188, 346, 175, 239]",171,Mongoloid,20-30s,Neutral,Female,light,unmasked
27911320.jpg,"[877, 360, 430, 427]",172,Caucasian,20-30s,Happiness,Female,light,unmasked
27940917.jpg,"[904, 225, 322, 327]",173,Mongoloid,20-30s,Anger,Female,mid-dark,unmasked
28410982.jpg,"[896, 308, 251, 302]",174,Caucasian,20-30s,Neutral,Female,mid-dark,unmasked
2852866.jpg,"[855, 235, 217, 311]",175,Mongoloid,20-30s,Neutral,Female,light,unmasked
2886377.jpg,"[1084, 768, 308, 349]",176,Mongoloid,20-30s,Anger,Male,mid-light,unmasked
29147643.jpg,"[1119, 249, 188, 235]",177,Caucasian,20-30s,Neutral,Female,light,unmasked
2944056.jpg,"[575, 724, 372, 487]",178,Caucasian,20-30s,Anger,Female,light,unmasked
29645903.jpg,"[479, 282, 336, 461]",179,Caucasian,20-30s,Neutral,Female,light,unmasked
29681241.jpg,"[1180, 230, 147, 167]",180,Mongoloid,20-30s,Neutral,Female,light,unmasked
29704956.jpg,"[1130, 272, 188, 259]",181,Mongoloid,20-30s,Neutral,Female,light,unmasked
29739891.jpg,"[685, 237, 285, 451]",182,Mongoloid,20-30s,Neutral,Female,mid-dark,unmasked
29824475.jpg,"[669, 286, 214, 269]",183,Negroid,20-30s,Surprise,Female,light,unmasked
3000130.jpg,"[1331, 552, 286, 374]",184,Caucasian,20-30s,Neutral,Male,light,unmasked
3003068.jpg,"[811, 369, 268, 333]",185,Caucasian,20-30s,Surprise,Female,light,unmasked
30369284.jpg,"[1148, 199, 275, 339]",186,Caucasian,20-30s,Neutral,Female,light,unmasked
30527173.jpg,"[606, 456, 268, 310]",187,Caucasian,Teenager,Neutral,Female,light,unmasked
30577144.jpg,"[223, 645, 643, 978]",188,Mongoloid,20-30s,Sadness,Female,dark,unmasked
30760318.jpg,"[593, 222, 240, 311]",189,Caucasian,Baby,Neutral,Male,light,unmasked
3079720.jpg,"[842, 186, 453, 646]",190,Caucasian,20-30s,Neutral,Female,light,unmasked
3090098.jpg,"[1044, 284, 439, 580]",191,Caucasian,Teenager,Neutral,Female,light,unmasked
31012986.jpg,"[590, 285, 265, 498]",192,Mongoloid,20-30s,Neutral,Female,mid-light,unmasked
3109778.jpg,"[685, 613, 326, 398]",193,Caucasian,20-30s,Neutral,Male,light,unmasked
31138034.jpg,"[659, 216, 450, 550]",194,Caucasian,20-30s,Surprise,Female,light,unmasked
31223220.jpg,"[621, 148, 140, 181]",195,Mongoloid,20-30s,Neutral,Female,light,unmasked
31359068.jpg,"[739, 416, 446, 543]",196,Negroid,20-30s,Surprise,Male,dark,unmasked
3138837.jpg,"[379, 185, 218, 284]",197,Mongoloid,20-30s,Anger,Male,mid-light,unmasked
31391762.jpg,"[945, 369, 161, 252]",198,Caucasian,Kid,Anger,Male,light,unmasked
31441438.jpg,"[1107, 226, 370, 528]",199,Caucasian,20-30s,Anger,Female,light,unmasked
31462071.jpg,"[825, 192, 280, 398]",200,Negroid,20-30s,Neutral,Female,dark,unmasked
3157812.jpg,"[1057, 1256, 112, 160]",201,Negroid,20-30s,Surprise,Female,dark,unmasked
32068722.jpg,"[595, 261, 455, 557]",202,Caucasian,20-30s,Neutral,Female,light,unmasked
32380985.jpg,"[563, 361, 301, 405]",203,Caucasian,20-30s,Neutral,Male,light,unmasked
3264666.jpg,"[562, 548, 132, 169]",204,Mongoloid,20-30s,Neutral,Female,mid-light,unmasked
3295899.jpg,"[348, 0, 423, 525]",205,Negroid,20-30s,Surprise,Female,dark,unmasked
32964910.jpg,"[532, 52, 344, 430]",206,Caucasian,Kid,Happiness,Male,mid-light,unmasked
33091036.jpg,"[801, 183, 335, 407]",207,Caucasian,20-30s,Happiness,Male,light,unmasked
33486429.jpg,"[678, 808, 287, 382]",208,Caucasian,20-30s,Neutral,Female,light,unmasked
33535036.jpg,"[941, 184, 208, 270]",209,Caucasian,20-30s,Neutral,Male,dark,unmasked
33892123.jpg,"[635, 322, 316, 413]",210,Mongoloid,20-30s,Surprise,Female,light,unmasked
33915372.jpg,"[711, 284, 370, 488]",211,Caucasian,20-30s,Surprise,Female,light,unmasked
3391972.jpg,"[562, 329, 442, 630]",212,Caucasian,20-30s,Neutral,Female,light,unmasked
3391976.jpg,"[656, 283, 465, 655]",213,Caucasian,20-30s,Neutral,Male,light,unmasked
3410477.jpg,"[628, 270, 474, 708]",214,Mongoloid,20-30s,Neutral,Female,light,unmasked
3429831.jpg,"[661, 324, 343, 392]",215,Caucasian,20-30s,Neutral,Female,light,unmasked
3435701.jpg,"[699, 532, 131, 185]",216,Mongoloid,20-30s,Neutral,Female,light,unmasked
3435731.jpg,"[563, 286, 178, 251]",217,Caucasian,20-30s,Happiness,Female,mid-light,unmasked
34460135.jpg,"[1421, 261, 190, 241]",218,Mongoloid,20-30s,Neutral,Female,light,unmasked
3455123.jpg,"[1138, 265, 254, 289]",219,Mongoloid,20-30s,Neutral,Female,mid-light,unmasked
34628318.jpg,"[714, 305, 180, 236]",220,Mongoloid,20-30s,Surprise,Female,light,unmasked
34697642.jpg,"[592, 341, 307, 324]",221,Negroid,20-30s,Neutral,Female,mid-dark,unmasked
34702737.jpg,"[876, 212, 237, 368]",222,Negroid,20-30s,Surprise,Female,mid-light,unmasked
34704911.jpg,"[1129, 256, 184, 247]",223,Mongoloid,20-30s,Neutral,Female,light,unmasked
34871802.jpg,"[415, 357, 421, 556]",224,Caucasian,20-30s,Neutral,Male,light,unmasked
35127692.jpg,"[801, 331, 269, 358]",225,Caucasian,20-30s,Anger,Female,light,unmasked
35610009.jpg,"[1005, 198, 537, 745]",226,Caucasian,20-30s,Neutral,Female,light,unmasked
36011395.jpg,"[828, 422, 275, 358]",227,Mongoloid,20-30s,Neutral,Female,dark,unmasked
36462523.jpg,"[803, 431, 357, 448]",228,Mongoloid,20-30s,Neutral,Female,light,unmasked
36617812.jpg,"[1372, 216, 261, 358]",229,Mongoloid,20-30s,Neutral,Female,light,unmasked
36682833.jpg,"[660, 180, 230, 316]",230,Mongoloid,20-30s,Surprise,Female,light,masked
36748282.jpg,"[639, 870, 203, 310]",231,Mongoloid,20-30s,Neutral,Female,mid-light,unmasked
37139038.jpg,"[1213, 300, 292, 452]",232,Caucasian,Baby,Happiness,Female,light,unmasked
37156556.jpg,"[856, 165, 415, 646]",233,Caucasian,20-30s,Neutral,Female,mid-light,unmasked
37856217.jpg,"[567, 230, 317, 441]",234,Caucasian,20-30s,Neutral,Male,mid-light,unmasked
3787201.jpg,"[1015, 460, 360, 379]",235,Mongoloid,20-30s,Neutral,Female,mid-light,masked
37878628.jpg,"[878, 412, 391, 552]",236,Mongoloid,20-30s,Anger,Female,dark,unmasked
37935696.jpg,"[490, 134, 205, 306]",237,Caucasian,20-30s,Anger,Female,light,unmasked
37968394.jpg,"[478, 313, 287, 418]",238,Mongoloid,20-30s,Surprise,Female,light,unmasked
38028727.jpg,"[778, 198, 270, 346]",239,Negroid,20-30s,Fear,Female,dark,unmasked
38157212.jpg,"[1420, 328, 172, 212]",240,Caucasian,20-30s,Neutral,Female,light,unmasked
38195555.jpg,"[296, 230, 365, 485]",241,Caucasian,20-30s,Neutral,Male,mid-light,unmasked
38217732.jpg,"[456, 718, 226, 286]",242,Mongoloid,20-30s,Neutral,Female,light,unmasked
3823387.jpg,"[857, 363, 365, 440]",243,Mongoloid,20-30s,Neutral,Male,mid-light,unmasked
38335183.jpg,"[947, 316, 215, 279]",244,Caucasian,20-30s,Neutral,Female,mid-light,unmasked
38385295.jpg,"[952, 452, 325, 345]",245,Negroid,20-30s,Neutral,Female,dark,unmasked
38403602.jpg,"[1298, 220, 300, 401]",246,Mongoloid,20-30s,Neutral,Female,light,unmasked
38437077.jpg,"[758, 833, 282, 372]",247,Mongoloid,20-30s,Neutral,Female,light,unmasked
38530268.jpg,"[1044, 260, 174, 273]",248,Mongoloid,20-30s,Anger,Male,mid-light,unmasked
38546206.jpg,"[1100, 245, 263, 349]",249,Mongoloid,20-30s,Neutral,Female,light,unmasked
38594907.jpg,"[1019, 445, 315, 383]",250,Negroid,20-30s,Anger,Female,dark,unmasked
38704006.jpg,"[879, 430, 298, 357]",251,Negroid,20-30s,Neutral,Female,dark,unmasked
38905875.jpg,"[710, 345, 246, 339]",252,Mongoloid,20-30s,Neutral,Female,mid-light,unmasked
38906397.jpg,"[721, 312, 577, 683]",253,Caucasian,20-30s,Happiness,Female,light,unmasked
39221910.jpg,"[1100, 231, 363, 504]",254,Mongoloid,20-30s,Neutral,Male,light,unmasked
39222211.jpg,"[1016, 119, 405, 540]",255,Caucasian,20-30s,Neutral,Female,mid-light,unmasked
39243924.jpg,"[778, 201, 327, 531]",256,Negroid,20-30s,Neutral,Female,mid-dark,unmasked
39243927.jpg,"[934, 294, 445, 548]",257,Mongoloid,20-30s,Fear,Female,light,unmasked
39243928.jpg,"[1288, 215, 414, 558]",258,Mongoloid,20-30s,Neutral,Female,light,unmasked
39243929.jpg,"[1063, 219, 450, 560]",259,Mongoloid,20-30s,Neutral,Female,light,unmasked
39243931.jpg,"[1140, 305, 366, 458]",260,Caucasian,20-30s,Neutral,Female,light,unmasked
39577067.jpg,"[1340, 434, 166, 227]",261,Caucasian,20-30s,Anger,Male,mid-light,unmasked
39580165.jpg,"[322, 811, 446, 563]",262,Mongoloid,20-30s,Neutral,Female,light,unmasked
39646466.jpg,"[282, 272, 391, 442]",263,Caucasian,20-30s,Anger,Male,light,unmasked
39670846.jpg,"[506, 367, 169, 287]",264,Caucasian,20-30s,Sadness,Female,light,unmasked
39692060.jpg,"[557, 853, 227, 316]",265,Mongoloid,20-30s,Neutral,Female,mid-light,unmasked
39714186.jpg,"[884, 175, 155, 226]",266,Mongoloid,20-30s,Neutral,Female,light,unmasked
39715283.jpg,"[902, 177, 153, 232]",267,Mongoloid,20-30s,Neutral,Female,light,unmasked
39719817.jpg,"[598, 280, 617, 882]",268,Mongoloid,20-30s,Neutral,Female,light,unmasked
39720454.jpg,"[707, 260, 549, 739]",269,Caucasian,20-30s,Neutral,Female,light,unmasked
39744149.jpg,"[629, 177, 143, 207]",270,Negroid,20-30s,Neutral,Female,dark,unmasked
39807979.jpg,"[415, 417, 244, 270]",271,Caucasian,20-30s,Happiness,Female,light,unmasked
