file_name,age,race,masked,skintone,emotion,gender,split
102747326.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Female,0.685170540939449
1028277.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Female,0.2222080021842586
102830900.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Male,1.446868207943422
10285931.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-0.5212416103155212
102923768.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-0.4528990172601467
103037461.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female,-0.6473287972524796
10305625.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-1.7749431220292513
103059321.jpg,Kid,Negroid,unmasked,mid-light,Happiness,Female,0.04456115345053845
103172293.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,0.008200325247925914
103205080.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male,-0.16377198768608864
103241757.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Female,1.2879266931593703
10330518.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,1.7497279452103172
103329072.jpg,Senior,Mongoloid,unmasked,light,Neutral,Male,-0.09513353329558931
103370028.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0.38691763595674544
103437212.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male,-2.1254028517375785
103438729.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male,-0.15063390196978943
103440257.jpg,40-50s,Caucasian,unmasked,mid-light,Neutral,Male,0.10834498670518274
103500128.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,-1.5318398383288978
103530728.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0.4814184112571864
103632343.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0.325881770530381
103639814.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Male,-0.1965860746677207
103815601.jpg,Kid,Mongoloid,unmasked,mid-light,Happiness,Female,-0.36142729586912875
103866562.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,-1.4050286905738734
103908584.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,-0.04496087147955023
103911534.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,-0.91945559653829
103996982.jpg,40-50s,Caucasian,unmasked,mid-dark,Happiness,Female,-0.6203036058198654
104003199.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,-1.5133772016796372
104013526.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1.9228437736156587
104015283.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,2.354832679863286
104046035.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,-1.063789852485986
104046381.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,2.8452968644744936
104046402.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,-0.3598158850467238
104119901.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-0.8373891514684907
104132686.jpg,20-30s,Caucasian,unmasked,light,Sadness,Female,1.0695201462637993
104169412.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,-1.04248032792683
104202349.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,0.573360026525298
104204411.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male,-0.5996947439937994
104217772.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0.6587599589645645
104242965.jpg,20-30s,Caucasian,unmasked,mid-light,Sadness,Female,2.2621691239332287
104292087.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female,-0.40532338548914265
104328217.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,-0.6241620265658979
104345993.jpg,Kid,Caucasian,unmasked,light,Happiness,Female,-0.25050689956563515
104373525.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Male,-1.5961758415976572
104409683.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0.13563448098554293
104412423.jpg,20-30s,Negroid,unmasked,dark,Happiness,Male,0.3998142405821372
104415446.jpg,Senior,Caucasian,unmasked,light,Happiness,Male,-1.0512776661561323
104418974.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,0.6622045193383975
10444280.jpg,20-30s,Mongoloid,masked,light,Sadness,Male,1.4232520407600562
104449006.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,-0.6250042897363971
104449117.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,-0.049196133307875756
104503034.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,-0.42656998529505413
10462043.jpg,40-50s,Mongoloid,unmasked,mid-light,Happiness,Male,-0.5124959603543597
10464694.jpg,20-30s,Mongoloid,unmasked,light,Anger,Male,-0.12849440969397188
10465140.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Male,0.40222980218477744
104651607.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,-0.5108911791268379
10469838.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0.8679829942506861
104751475.jpg,Kid,Mongoloid,unmasked,light,Happiness,Female,-1.6918037846545977
104788140.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0.13844834364695377
104791514.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,-0.27278979196487185
104830744.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,-0.17947073397370297
104850331.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,-0.6045395081535169
104854230.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-2.3009509675362296
104880284.jpg,20-30s,Negroid,unmasked,dark,Happiness,Male,1.2812421665977278
104883984.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Female,-1.1704685299851982
10490610.jpg,20-30s,Mongoloid,unmasked,light,Sadness,Female,-0.22479681126696205
104909099.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female,0.23196012672839483
10492403.jpg,20-30s,Mongoloid,masked,light,Happiness,Female,0.6218205730127451
104954814.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,0.18171198821607148
104963320.jpg,Baby,Mongoloid,unmasked,light,Happiness,Female,-0.29371937938965276
1049638.jpg,40-50s,Mongoloid,unmasked,mid-light,Happiness,Male,1.0798691210949019
10499309.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male,0.8767495046645274
105010109.jpg,20-30s,Caucasian,unmasked,light,Fear,Female,-0.47019716269488415
10501434.jpg,20-30s,Mongoloid,masked,light,Sadness,Female,0.41109872795790536
105024885.jpg,Kid,Caucasian,unmasked,light,Happiness,Female,-0.16105660434551003
105082014.jpg,20-30s,Negroid,masked,dark,Neutral,Female,1.7045978840345783
105125598.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male,0.11434633144973806
10513561.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-0.5720063100490581
10516477.jpg,Senior,Mongoloid,unmasked,mid-light,Happiness,Male,0.018852722012261867
105204997.jpg,Kid,Caucasian,unmasked,mid-light,Happiness,Female,-1.2672970588048458
105204998.jpg,Kid,Caucasian,unmasked,light,Happiness,Female,2.3913522039996153
105474169.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female,0.28669512129608504
105485969.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,-1.3884923846930808
105588974.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,-0.5568415191585525
105610542.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0.19421443286140738
10563412.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-0.9734899233219175
105637372.jpg,20-30s,Negroid,unmasked,mid-light,Happiness,Female,1.2469928697389938
105710709.jpg,20-30s,Negroid,unmasked,mid-dark,Neutral,Male,-0.00242930522774067
105711016.jpg,Teenager,Negroid,unmasked,mid-dark,Happiness,Male,0.5510992834642879
105711109.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,-0.13641626419567252
105729227.jpg,20-30s,Mongoloid,masked,light,Neutral,Female,0.18731710029571513
105769005.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female,-0.2870470701025129
10577187.jpg,20-30s,Mongoloid,unmasked,mid-dark,Neutral,Female,-1.4990767188768415
1058244.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,0.4818881979677196
105829185.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,3.199865204971239
105897995.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0.17533853257535215
105953521.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0.6579050338773866
105961718.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,-0.5258352941874039
10602465.jpg,40-50s,Mongoloid,unmasked,light,Sadness,Male,-0.39285283548967054
10605067.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Female,1.242793192162456
10605275.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0.4592250682081578
106063524.jpg,Kid,Caucasian,unmasked,light,Happiness,Male,-0.5484525144341017
106074618.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0.809017748966882
106074618_2.jpg,40-50s,Caucasian,unmasked,light,Happiness,Female,-0.0111299071528826
106103370.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,0.42424032965121106
106142534.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,-1.184993445005173
1062014.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1.181198826725952
1062014_2.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0.8407742187292551
106208713.jpg,20-30s,Negroid,unmasked,mid-dark,Neutral,Male,0.7438782457569175
106237152.jpg,Teenager,Caucasian,unmasked,light,Neutral,Female,1.3507855566847056
106346950.jpg,Teenager,Mongoloid,unmasked,light,Neutral,Female,-1.9517302687926552
106367456.jpg,Teenager,Caucasian,unmasked,light,Neutral,Female,0.7360285515923604
106389668.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,0.7178461740451277
106412733.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,0.2639628075753325
1064332.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-1.0575830987275916
1064332_2.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1.187789531180131
10645387.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-1.0281409065565266
10645861.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0.7406411415909769
106481725.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0.3082014951033712
106513581.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1.176265495592111
106569890.jpg,40-50s,Caucasian,unmasked,light,Neutral,Male,1.834729612095032
106623435.jpg,20-30s,Mongoloid,unmasked,mid-light,Sadness,Female,0.4550372568036474
106625751.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,2.121206201426204
106661575.jpg,Kid,Caucasian,unmasked,mid-light,Neutral,Male,-1.8830825090682821
106666681.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Male,0.22683199343218644
106694219.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male,-0.17421078975365506
106752326.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,-0.5696780445099136
106764630.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0.6801413354919787
10681945.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0.6898305583281684
1068356.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1.144370902952774
1068356_2.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-2.204041943798024
106938047.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-1.7432591009462324
106977913.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male,-1.7517119858977974
107015381.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Male,-1.9523740683507882
107042783.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male,1.132217862127124
107044306.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Female,1.0885385357473463
107157587.jpg,20-30s,Caucasian,unmasked,light,Neutral,Male,-0.5030789599976232
107204800.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,0.08337424856522842
107217322.jpg,20-30s,Negroid,unmasked,dark,Happiness,Male,0.7964024128723864
107228586.jpg,Kid,Mongoloid,unmasked,mid-light,Neutral,Female,0.25563567107588764
107245673.jpg,Baby,Caucasian,unmasked,light,Neutral,Male,-0.009325806823448827
107293687.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Male,-0.21642242629002426
107298406.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0.5478749132920205
107387419.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male,-0.46876308819447254
107396204.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,0.23656619081498026
107407560.jpg,Kid,Mongoloid,unmasked,light,Happiness,Male,-2.734540554997995
107421827.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,-1.0409961981167744
107446106.jpg,Kid,Mongoloid,unmasked,mid-light,Neutral,Male,0.999682729895149
107462747.jpg,40-50s,Mongoloid,unmasked,mid-light,Happiness,Male,-1.1430461161969474
10752420.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1.5420402418424317
107528761.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,-0.3684725641310786
107604375.jpg,40-50s,Mongoloid,unmasked,mid-light,Neutral,Male,-1.7655187708883409
107686007.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male,0.33705125131657526
107706406.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Female,0.7592710918493014
10771423.jpg,20-30s,Mongoloid,masked,light,Neutral,Female,1.648734577262441
107720092.jpg,20-30s,Mongoloid,unmasked,mid-light,Anger,Female,-1.5558973848147122
107732863.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,-0.3545218810003685
107785545.jpg,20-30s,Mongoloid,masked,light,Neutral,Female,-0.8253532579836359
107880024.jpg,Senior,Caucasian,unmasked,light,Sadness,Male,1.0936032897827463
107892076.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,-1.6569324102180263
10796633.jpg,Kid,Mongoloid,unmasked,light,Happiness,Female,0.796302759592027
107970044.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0.8631186827058428
107970368.jpg,20-30s,Caucasian,unmasked,light,Neutral,Male,1.3530679132402719
108030445.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0.15323773088278594
108053825.jpg,Kid,Caucasian,unmasked,light,Neutral,Male,-0.05849936318650153
10807070.jpg,Kid,Mongoloid,unmasked,light,Happiness,Male,1.4584064747023457
108117193.jpg,40-50s,Mongoloid,unmasked,light,Neutral,Female,0.6615677910863591
108119733.jpg,20-30s,Mongoloid,unmasked,mid-light,Fear,Female,1.80050344477251
108120403.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-0.003473671013436043
10815380.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-0.12674580938268612
108165616.jpg,Senior,Mongoloid,unmasked,mid-light,Happiness,Male,-0.06039884933964722
10817186.jpg,20-30s,Mongoloid,masked,light,Neutral,Female,-0.645508210615272
108223892.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,0.9045370312936923
10823018.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-0.1843968087520648
1082474.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Female,0.15213012476291873
1082480.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,-1.1330055106322345
1082487.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,-0.061738424677519624
108269010.jpg,20-30s,Caucasian,unmasked,light,Surprise,Female,-0.10789825651007987
108269240.jpg,20-30s,Caucasian,unmasked,light,Neutral,Male,-0.1777872376570814
108292736.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-1.275121330153394
1083832.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,0.4912721230979532
1083956.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0.8741528192852568
10842866.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Male,0.6786310332369949
1084829.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-0.3957618265517673
1085414.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-1.6818915528693772
1085475.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-0.7969492144448037
1086226.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-1.1086474869787788
10869274.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1.8059896339839379
10870583.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-0.11896959234709963
1088283.jpg,20-30s,Mongoloid,masked,mid-light,Neutral,Female,-0.2920145579032325
10891849.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0.6298248936897349
10899579.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male,0.6072618827129989
1091393.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0.5597746346281857
1094947.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,1.0668447601734292
10957478.jpg,20-30s,Mongoloid,masked,light,Neutral,Female,-2.8131326504964007
1097338.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0.05494810558429007
10974506.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-0.8596905243123786
1097536.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,-0.8423679224423923
1100789.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,1.7865193112615854
1109504.jpg,20-30s,Mongoloid,masked,light,Neutral,Male,0.8873682287140675
1109505.jpg,20-30s,Mongoloid,masked,light,Neutral,Male,-0.627483849690725
11107875.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,1.3241968546477048
11127299.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male,-1.0329527746582052
1116630.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,0.7556826592616755
1120865.jpg,Senior,Mongoloid,unmasked,light,Happiness,Male,-0.8442480413916087
1121885.jpg,20-30s,Mongoloid,masked,light,Neutral,Male,0.210490913164977
1121887.jpg,20-30s,Mongoloid,masked,mid-light,Neutral,Male,-0.041458723909574266
1121891.jpg,20-30s,Mongoloid,masked,light,Neutral,Male,-0.1281223071133821
1121892.jpg,20-30s,Mongoloid,masked,light,Neutral,Male,1.4732309517215891
11255032.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-1.0622520577930639
11285438.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-0.8539148155100988
1128903.jpg,Senior,Mongoloid,unmasked,mid-light,Happiness,Male,0.7724246981002849
11289541.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,-1.1685740566778449
11293992.jpg,Senior,Mongoloid,unmasked,light,Happiness,Male,-0.41088661524548736
