,file_name,age,race,masked,skintone,emotion,gender
321,10645861.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
322,106481725.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
323,106513581.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
324,106531364.jpg,20-30s,Caucasian,unmasked,mid-dark,Happiness,Female
325,106566268.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
326,106569890.jpg,40-50s,Caucasian,unmasked,light,Neutral,Male
327,106623435.jpg,20-30s,Mongoloid,unmasked,mid-light,Sadness,Female
328,106625751.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female
329,106661575.jpg,Kid,Caucasian,unmasked,mid-light,Neutral,Male
330,106666681.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Male
331,106678432.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male
332,106694219.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male
333,106752326.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male
334,106764630.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
335,10681945.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
336,1068356.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
337,1068356_2.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
338,106938047.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
339,106977913.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male
340,107015381.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Male
341,107042783.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male
342,107044306.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Female
343,107080215.jpg,40-50s,Mongoloid,unmasked,mid-light,Anger,Male
344,107157587.jpg,20-30s,Caucasian,unmasked,light,Neutral,Male
345,107204800.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female
346,107204857.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female
347,107217322.jpg,20-30s,Negroid,unmasked,dark,Happiness,Male
348,107228586.jpg,Kid,Mongoloid,unmasked,mid-light,Neutral,Female
349,107245673.jpg,Baby,Caucasian,unmasked,light,Neutral,Male
350,107246247.jpg,40-50s,Mongoloid,unmasked,mid-light,Neutral,Male
351,107293687.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Male
352,107298406.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
353,107385908.jpg,Kid,Caucasian,unmasked,light,Happiness,Female
354,107387419.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male
355,107396204.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female
356,107407560.jpg,Kid,Mongoloid,unmasked,light,Happiness,Male
357,107421827.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female
358,107446106.jpg,Kid,Mongoloid,unmasked,mid-light,Neutral,Male
359,107462747.jpg,40-50s,Mongoloid,unmasked,mid-light,Happiness,Male
360,107482032.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
361,10752420.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
362,107528761.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
363,107604375.jpg,40-50s,Mongoloid,unmasked,mid-light,Neutral,Male
364,107637423.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female
365,107656295.jpg,Kid,Mongoloid,unmasked,mid-light,Happiness,Male
366,107686007.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male
367,107706406.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Female
368,10771423.jpg,20-30s,Mongoloid,masked,light,Neutral,Female
369,107720092.jpg,20-30s,Mongoloid,unmasked,mid-light,Anger,Female
370,107732863.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female
371,107785545.jpg,20-30s,Mongoloid,masked,light,Neutral,Female
372,107800206.jpg,20-30s,Mongoloid,unmasked,mid-light,Sadness,Female
373,107801463.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
374,107823997.jpg,Teenager,Mongoloid,unmasked,light,Happiness,Female
