file_name,age,race,masked,skintone,emotion,gender,fold
49996135.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,3
83519521.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1
20243245.jpg,20-30s,Mongoloid,unmasked,light,Sadness,Female,4
22256139.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Female,0
13469454.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male,1
50004269.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,2
96699029.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,3
42365184.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Female,2
62565267.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male,0
98954380.jpg,Kid,Caucasian,unmasked,light,Happiness,Female,1
84881661.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,3
image_462.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,4
62151113.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female,3
12196150.jpg,Senior,Mongoloid,unmasked,light,Happiness,Female,0
76170000.jpg,20-30s,Mongoloid,unmasked,mid-dark,Neutral,Female,1
82421323.jpg,40-50s,Caucasian,unmasked,mid-light,Neutral,Male,4
65079856.jpg,20-30s,Mongoloid,unmasked,mid-light,Anger,Male,2
13396853.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,2
66697666.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,4
73474573.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,3
37044617.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1
78840891.jpg,20-30s,Negroid,unmasked,dark,Happiness,Female,0
83797560.jpg,20-30s,Negroid,unmasked,mid-dark,Neutral,Female,2
76687736.jpg,20-30s,Negroid,unmasked,dark,Happiness,Female,1
61695148.jpg,20-30s,Caucasian,unmasked,light,Neutral,Male,0
68554343.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,3
42354261.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,4
81538737_5.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,4
image_2934.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male,3
94631867.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0
81603929.jpg,Kid,Caucasian,unmasked,light,Happiness,Female,2
99935227.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,1
79542080.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0
image_6613.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,1
image_4295.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,4
19730878.jpg,40-50s,Mongoloid,unmasked,mid-light,Neutral,Male,2
image_843.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,3
46561246.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,3
image_7351.jpg,Baby,Caucasian,unmasked,light,Happiness,Male,4
68170015.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Female,1
image_6774.jpg,20-30s,Caucasian,unmasked,light,Surprise,Male,2
107246247.jpg,40-50s,Mongoloid,unmasked,mid-light,Neutral,Male,0
67624287.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Female,3
44250404_15.jpg,Kid,Caucasian,unmasked,light,Happiness,Female,0
70672317.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,2
image_8233.jpg,40-50s,Caucasian,unmasked,mid-light,Happiness,Male,1
11879549.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,4
48686456.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,2
62965378.jpg,20-30s,Caucasian,unmasked,light,Neutral,Male,3
image_10433.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male,0
37241574.jpg,20-30s,Mongoloid,unmasked,mid-dark,Happiness,Female,4
image_4705.jpg,Baby,Caucasian,unmasked,light,Neutral,Female,1
73660534.jpg,20-30s,Caucasian,unmasked,light,Sadness,Female,1
60845504.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,4
79449022.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,3
10477683.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,2
69287544.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male,0
63987571.jpg,Senior,Caucasian,unmasked,mid-dark,Neutral,Male,2
99186234.jpg,20-30s,Negroid,unmasked,mid-dark,Happiness,Female,1
56738304.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,3
78959949.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,4
79094828.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0
2983478.jpg,Teenager,Mongoloid,unmasked,light,Happiness,Male,3
30232672.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male,4
77271881.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,0
image_3887.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1
45561808.jpg,Kid,Caucasian,unmasked,light,Neutral,Male,2
63724839.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Male,3
59001956.jpg,20-30s,Caucasian,unmasked,mid-light,Surprise,Male,4
85855959.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female,2
21677243.jpg,40-50s,Mongoloid,masked,mid-light,Neutral,Male,0
image_4457.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,1
66835282.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,3
75756337.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Female,1
73348703.jpg,40-50s,Mongoloid,unmasked,mid-dark,Happiness,Male,0
102703056.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,4
91965792.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,2
57980440.jpg,Kid,Caucasian,unmasked,light,Fear,Male,0
74786871.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,2
74802713_6.jpg,Kid,Caucasian,unmasked,light,Happiness,Female,3
50004540.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,4
68241751.jpg,Teenager,Mongoloid,masked,mid-light,Happiness,Female,1
69195843.jpg,Senior,Mongoloid,unmasked,light,Happiness,Female,0
68158278.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female,1
69623783.jpg,20-30s,Caucasian,unmasked,mid-dark,Happiness,Female,3
86969269.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,4
42197106.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Male,2
85407.jpg,Senior,Mongoloid,unmasked,mid-light,Happiness,Male,3
55764238.jpg,40-50s,Mongoloid,unmasked,mid-light,Happiness,Male,1
104132686.jpg,20-30s,Caucasian,unmasked,light,Sadness,Female,2
93185457.jpg,20-30s,Caucasian,masked,mid-light,Neutral,Female,0
image_8687.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,4
92886520.jpg,Kid,Caucasian,unmasked,mid-light,Happiness,Female,4
76187674.jpg,Kid,Negroid,unmasked,mid-light,Happiness,Female,0
42011962.jpg,20-30s,Caucasian,unmasked,mid-dark,Neutral,Female,2
45831087.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1
86113842.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,3
90170290.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0
62212715.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,3
60883320.jpg,20-30s,Negroid,unmasked,dark,Neutral,Male,4
74673594.jpg,20-30s,Negroid,masked,mid-dark,Happiness,Female,2
image_4382.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,1
76208608.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Female,4
77475682.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,3
75221141.jpg,Teenager,Mongoloid,unmasked,light,Happiness,Female,1
85977285.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,2
66778428.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,0
75266531.jpg,40-50s,Mongoloid,unmasked,mid-light,Happiness,Male,3
45750289.jpg,40-50s,Caucasian,unmasked,light,Happiness,Female,0
86886075.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,4
64714981.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,2
63535497.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1
63423208.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,0
12469989.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,2
8522568.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,4
2452311.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1
54191708.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,3
87830857.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,0
13787944.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1
86588997.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,2
73687468.jpg,20-30s,Mongoloid,unmasked,light,Sadness,Female,4
10286029.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,3
53167772.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female,0
18195938.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,3
7352249.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,4
image_3627.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1
5304497.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,2
69732725.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Male,1
40077133.jpg,40-50s,Caucasian,unmasked,light,Happiness,Male,3
60474056.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,0
74802688_2.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,2
39726580.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,4
76243247.jpg,20-30s,Caucasian,unmasked,light,Neutral,Male,3
image_2810.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,0
54972214.jpg,Baby,Mongoloid,unmasked,light,Surprise,Female,1
77026142.jpg,20-30s,Negroid,unmasked,dark,Happiness,Female,4
64912206.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,2
36522032.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Male,4
75360344.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,0
107686007.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male,1
49600530.jpg,Teenager,Mongoloid,unmasked,light,Happiness,Female,2
36435392.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Female,3
70929917.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Male,4
61738673.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,2
image_3509.jpg,Kid,Caucasian,unmasked,light,Happiness,Male,1
4060313.jpg,Senior,Mongoloid,unmasked,mid-dark,Neutral,Female,0
46321284.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,3
95226316.jpg,20-30s,Negroid,unmasked,dark,Happiness,Male,2
85484964.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,3
57579484.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,1
76258821.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0
49408911.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,4
image_9839.jpg,20-30s,Caucasian,unmasked,light,Neutral,Male,4
70204160.jpg,20-30s,Caucasian,unmasked,light,Surprise,Female,3
95045660.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male,2
image_1394.jpg,20-30s,Caucasian,unmasked,light,Neutral,Male,1
97633961.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Male,0
73098794.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female,0
75728496.jpg,Senior,Caucasian,unmasked,mid-dark,Happiness,Male,3
78919581.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,4
96497854.jpg,20-30s,Negroid,unmasked,mid-dark,Happiness,Female,1
68855402.jpg,20-30s,Mongoloid,unmasked,light,Surprise,Female,2
1268968.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Male,3
86359765.jpg,Kid,Caucasian,unmasked,mid-light,Neutral,Female,1
67479754.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,4
7583133.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,2
image_8035.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0
image_6873.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,1
804700.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0
1714320.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,3
77431888.jpg,Kid,Caucasian,unmasked,light,Neutral,Female,2
image_2407.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,4
76486092.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,4
85682705.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,0
62441689.jpg,Kid,Caucasian,unmasked,mid-light,Neutral,Male,1
97991077.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,3
69464848.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,2
84736541.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male,0
55078684.jpg,Senior,Caucasian,unmasked,light,Happiness,Female,4
69780561.jpg,Kid,Caucasian,unmasked,light,Happiness,Female,2
image_3084.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,1
72412755.jpg,40-50s,Negroid,unmasked,mid-dark,Happiness,Female,3
79094552.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,4
43422456.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0
image_7628.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,1
359286.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,2
68424003.jpg,20-30s,Mongoloid,masked,mid-dark,Neutral,Female,3
42646328.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,2
image_5307.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,1
69532806.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,3
image_2790.jpg,40-50s,Caucasian,unmasked,light,Neutral,Male,0
69684962.jpg,20-30s,Negroid,masked,mid-light,Neutral,Female,4
image_8785.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0
41601510.jpg,20-30s,Caucasian,unmasked,light,Disgust,Female,3
54656222.jpg,40-50s,Mongoloid,unmasked,light,Neutral,Male,4
48832173.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,1
38109216.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male,2
68611679.jpg,20-30s,Mongoloid,masked,light,Happiness,Female,0
1120865.jpg,Senior,Mongoloid,unmasked,light,Happiness,Male,1
29647698.jpg,Teenager,Mongoloid,unmasked,mid-light,Fear,Male,3
11285438.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,4
85218079.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,2
74802688_8.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,0
64108228.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,3
60618538.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,1
87796049.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Male,2
6786696.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,4
73404210.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,2
83561783.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male,4
91587504.jpg,Kid,Caucasian,unmasked,light,Happiness,Female,3
79754536.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,1
10464694.jpg,20-30s,Mongoloid,unmasked,light,Anger,Male,0
89566711.jpg,40-50s,Caucasian,unmasked,mid-light,Neutral,Male,3
81717593.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,2
67286693.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,4
61638444.jpg,Senior,Mongoloid,unmasked,light,Happiness,Male,1
87335840.jpg,Teenager,Caucasian,unmasked,light,Neutral,Female,0
72033778.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0
50427086.jpg,20-30s,Caucasian,unmasked,light,Sadness,Male,4
84856822.jpg,Kid,Caucasian,unmasked,light,Happiness,Female,2
82629259.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male,3
42589567.jpg,Kid,Mongoloid,masked,light,Neutral,Male,1
44630000.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,4
4878172.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0
79040647.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,2
61464648.jpg,20-30s,Negroid,unmasked,mid-dark,Happiness,Male,1
46993452.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,3
74314691.jpg,Kid,Caucasian,unmasked,light,Happiness,Female,2
84802622.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,4
image_5364.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,3
75528493.jpg,20-30s,Caucasian,unmasked,mid-dark,Happiness,Female,1
45873313.jpg,40-50s,Caucasian,unmasked,mid-light,Happiness,Female,0
83476259.jpg,Kid,Mongoloid,unmasked,light,Happiness,Female,1
62983306.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0
43886515.jpg,Kid,Mongoloid,unmasked,light,Neutral,Female,3
91046998.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,2
3777186.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,4
83127335.jpg,20-30s,Caucasian,unmasked,dark,Sadness,Female,3
image_1019.jpg,Baby,Mongoloid,unmasked,light,Neutral,Female,4
10097785.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,0
77053725.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,2
104449006.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,1
67950993.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,4
10817186.jpg,20-30s,Mongoloid,masked,light,Neutral,Female,1
89553256.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,3
87603190.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female,0
75274115.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Female,2
9349310.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,4
image_1648.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,0
64335140.jpg,Kid,Negroid,unmasked,mid-light,Neutral,Female,1
36068482.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Female,2
69482913.jpg,40-50s,Mongoloid,unmasked,mid-light,Happiness,Male,3
83506253.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,3
38681201.jpg,20-30s,Mongoloid,unmasked,light,Sadness,Female,4
87128810.jpg,Kid,Mongoloid,unmasked,light,Neutral,Male,2
58660495.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1
802382.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,0
81150368.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,0
53917717.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,4
2321554.jpg,20-30s,Mongoloid,masked,light,Sadness,Female,3
67063430.jpg,Kid,Mongoloid,unmasked,mid-dark,Neutral,Male,1
77832360.jpg,20-30s,Negroid,unmasked,dark,Neutral,Male,2
83853746.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,3
image_6168.jpg,Teenager,Caucasian,unmasked,light,Happiness,Male,4
92032409.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0
4028019.jpg,Senior,Mongoloid,unmasked,light,Happiness,Female,2
6813002.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1
1176387.jpg,40-50s,Mongoloid,unmasked,light,Happiness,Female,2
41333457.jpg,Senior,Mongoloid,unmasked,light,Happiness,Female,1
42398362.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0
84874474.jpg,Senior,Negroid,unmasked,mid-dark,Happiness,Female,3
83214586.jpg,20-30s,Caucasian,unmasked,light,Neutral,Female,4
48267763.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,4
82165909.jpg,20-30s,Negroid,unmasked,dark,Happiness,Male,3
76518605_4.jpg,20-30s,Negroid,unmasked,mid-dark,Happiness,Female,2
87281853.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1
66720806.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0
94287373.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,0
7782708.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,3
3258529.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,4
8368132.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1
5419477.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,2
47335994.jpg,20-30s,Caucasian,unmasked,light,Neutral,Male,2
26592018.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,4
99049532.jpg,20-30s,Caucasian,masked,light,Surprise,Male,1
4789233.jpg,Kid,Mongoloid,unmasked,light,Happiness,Male,0
84039296.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,3
78646518.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female,1
68194946.jpg,40-50s,Caucasian,unmasked,light,Neutral,Male,3
50072405.jpg,40-50s,Caucasian,unmasked,light,Disgust,Male,4
image_3137.jpg,20-30s,Caucasian,unmasked,light,Neutral,Male,2
9381358.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0
9330876.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,4
7678181.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1
70656371.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Male,2
38736700.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,3
1606741.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0
94258135.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,2
61707818.jpg,Kid,Caucasian,unmasked,light,Happiness,Female,4
62221659.jpg,40-50s,Mongoloid,unmasked,mid-light,Sadness,Male,3
25048790.jpg,Kid,Mongoloid,unmasked,light,Happiness,Female,0
6393559.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male,1
61799211.jpg,40-50s,Mongoloid,masked,mid-light,Neutral,Male,0
68324132.jpg,Kid,Caucasian,unmasked,mid-light,Happiness,Male,4
1097536.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female,2
image_2651.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,1
93190538.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,3
47540406_8.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,1
75847051.jpg,Senior,Caucasian,unmasked,light,Happiness,Male,3
67065011.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female,0
80730982.jpg,20-30s,Mongoloid,unmasked,mid-dark,Neutral,Female,4
77587977.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,2
81948557.jpg,Kid,Mongoloid,unmasked,mid-light,Neutral,Female,3
89879895.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,4
40355103.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0
image_5239.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,2
65014252.jpg,Teenager,Caucasian,unmasked,light,Neutral,Female,1
69991843.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male,0
70011900.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Male,1
106752326.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male,3
65556682.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,4
42804006.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,2
44250465.jpg,Kid,Mongoloid,unmasked,mid-light,Happiness,Male,4
21271637.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Male,1
image_1010.jpg,40-50s,Caucasian,unmasked,light,Neutral,Female,2
6665031.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0
78510623.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,3
54302725.jpg,20-30s,Mongoloid,unmasked,light,Surprise,Female,2
91328321.jpg,40-50s,Caucasian,unmasked,mid-light,Neutral,Female,3
74602521.jpg,40-50s,Caucasian,unmasked,light,Anger,Male,1
image_5074.jpg,Kid,Caucasian,unmasked,light,Happiness,Male,0
42932747.jpg,20-30s,Negroid,unmasked,dark,Neutral,Male,4
73838090.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female,0
87096802.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female,2
82198030.jpg,20-30s,Negroid,unmasked,mid-dark,Neutral,Male,1
84815994.jpg,Kid,Negroid,unmasked,mid-dark,Happiness,Male,4
